id,Year,quarter,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Latitude1,Longitude1,Latitude2,Longitude2
20,2017,1,"Chicago, IL","Cincinnati, OH","42,350",222.91,302.72,"31,840",-79.81,-26.3655,"10,510",33.0088,41.775002,-87.696388,39.104427,-84.513808
21,2017,1,"Chicago, IL","Sacramento, CA","38,150",229.95,295.96,"29,030",-66.01,-22.3045,"9,120",31.4158,41.775002,-87.696388,38.582087,-121.50012
22,2017,1,"Chicago, IL","Oklahoma City, OK","24,750",187.2,235.9,"20,310",-48.7,-20.6447,"4,440",21.8612,41.775002,-87.696388,35.468494,-97.521264
23,2017,1,"Charlotte, NC","Nashville, TN","48,260",152.29,286.6,"26,340",-134.31,-46.8634,"21,920",83.2194,35.222936,-80.840161,36.166687,-86.779932
24,2017,1,"Columbus, OH","Denver, CO","38,570",197.56,259.08,"27,470",-61.52,-23.746,"11,100",40.4077,39.962649,-82.996216,39.738453,-104.984853
25,2017,1,"Columbus, OH","Las Vegas, NV","56,810",198.77,269.05,"37,860",-70.28,-26.1231,"18,950",50.0528,39.962649,-82.996216,36.169202,-115.140597
26,2017,1,"Detroit, MI","Phoenix, AZ","134,000",196.31,258.69,"100,920",-62.38,-24.1143,"33,080",32.7784,42.332916,-83.047853,30.406931,-87.217578
27,2017,1,"Detroit, MI","Philadelphia, PA","59,540",156.17,353.85,"37,790",-197.69,-55.8668,"21,750",57.5549,42.332916,-83.047853,39.951061,-75.16562
28,2017,1,"Houston, TX","Omaha, NE","20,270",231.4,296.77,"16,310",-65.37,-22.0287,"3,960",24.2796,29.760803,-95.369506,46.07035,-93.666319
29,2017,1,"Orlando, FL","Trenton, NJ","18,490",93.11,121.34,"33,330",-28.23,-23.2671,"-14,840",-44.5245,28.538331,-81.378879,40.220572,-74.759709
30,2017,1,"Minneapolis/St. Paul, MN","West Palm Beach/Palm Beach, FL","26,810",197.67,247.91,"11,080",-50.24,-20.2659,"15,730",141.9675,44.977479,-93.264346,33.90976,-98.500854
31,2017,1,"Grand Rapids, MI","New York City, NY (Metropolitan Area)","24,210",216.88,306.49,"18,450",-89.61,-29.2363,"5,760",31.2195,47.925705,-97.036068,40.123164,-75.333718
32,2017,1,"Miami, FL (Metropolitan Area)","Nashville, TN","97,500",159.21,203.07,"74,610",-43.86,-21.5978,"22,890",30.6795,44.977479,-93.264346,36.166687,-86.779932
33,2017,1,"Los Angeles, CA (Metropolitan Area)","New Orleans, LA","138,790",205.39,263.47,"101,570",-58.08,-22.0439,"37,220",36.6447,34.052238,-118.243344,29.950621,-90.074948
34,2017,1,"Cincinnati, OH","Denver, CO","35,560",174.86,230.25,"25,610",-55.39,-24.0561,"9,950",38.852,39.104427,-84.513808,39.738453,-104.984853
35,2017,1,"Cincinnati, OH","Phoenix, AZ","35,840",176.45,264.3,"23,310",-87.86,-33.2401,"12,530",53.7538,39.104427,-84.513808,30.406931,-87.217578
36,2017,1,"Cincinnati, OH","Houston, TX","23,330",268.32,367.07,"16,470",-98.75,-26.9015,"6,860",41.6515,39.104427,-84.513808,29.760803,-95.369506
37,2017,1,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)","29,630",269.24,360.27,"21,630",-91.03,-25.2671,"8,000",36.9857,39.104427,-84.513808,37.78008,-122.420168
38,2017,1,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)","57,820",234.21,359.69,"39,230",-125.47,-34.8834,"18,590",47.3872,39.104427,-84.513808,34.052238,-118.243344
39,2017,1,"Sacramento, CA","Salt Lake City, UT","35,240",160.57,210.42,"26,330",-49.85,-23.6924,"8,910",33.8397,38.582087,-121.50012,40.758478,-111.888142
40,2017,1,"Kansas City, MO","San Antonio, TX","24,440",185.12,247.38,"16,340",-62.26,-25.1666,"8,100",49.5716,39.099792,-94.578559,29.425173,-98.494599
41,2017,1,"Madison, WI","Orlando, FL","17,230",175.51,225.12,"11,420",-49.6,-22.0351,"5,810",50.8757,43.073926,-89.385244,28.538331,-81.378879
42,2017,1,"Knoxville, TN","New York City, NY (Metropolitan Area)","22,680",181.28,290.66,"13,870",-109.38,-37.6305,"8,810",63.5184,35.962631,-83.916677,40.123164,-75.333718
43,2017,2,"Colorado Springs, CO","Orlando, FL","19,350",132.23,263.89,"5,080",-131.66,-0.4989,"14,270",2.8091,38.835224,-104.819798,28.538331,-81.378879
44,2017,2,"Dallas/Fort Worth, TX","Fayetteville, AR","17,790",261.38,338.32,"12,130",-76.94,-0.2274,"5,660",0.4666,40.11086,-77.035636,36.061928,-94.160583
45,2017,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)","307,710",160.92,212.39,"258,790",-51.47,-0.2424,"48,920",0.189,33.748547,-84.391502,42.358894,-71.056742
46,2017,2,"Austin, TX","Pittsburgh, PA","21,100",212.54,273.14,"14,940",-60.6,-0.2219,"6,160",0.4123,30.264979,-97.746598,40.442169,-79.994945
47,2017,2,"Austin, TX","Cleveland, OH (Metropolitan Area)","22,040",200.97,268.56,"15,740",-67.58,-0.2516,"6,300",0.4002,30.264979,-97.746598,41.505546,-81.6915
48,2017,2,"Asheville, NC","New York City, NY (Metropolitan Area)","30,170",145.89,295.15,"9,420",-149.27,-0.5057,"20,750",2.2028,35.595889,-82.550039,40.123164,-75.333718
49,2017,2,"Phoenix, AZ","Sacramento, CA","92,790",177.38,221.8,"71,010",-44.42,-0.2003,"21,780",0.3067,30.406931,-87.217578,38.582087,-121.50012
50,2017,2,"Cleveland, OH (Metropolitan Area)","Houston, TX","40,370",242.45,324.78,"37,610",-82.33,-0.2535,"2,760",0.0734,41.505546,-81.6915,29.760803,-95.369506
51,2017,2,"Chicago, IL","Cincinnati, OH","59,980",178.25,267.21,"39,310",-88.96,-0.3329,"20,670",0.5258,41.775002,-87.696388,39.104427,-84.513808
52,2017,2,"Charlotte, NC","Nashville, TN","49,160",182.79,283.12,"28,940",-100.33,-0.3544,"20,220",0.6987,35.222936,-80.840161,36.166687,-86.779932
53,2017,2,"Detroit, MI","Philadelphia, PA","78,150",166.83,254.55,"55,490",-87.72,-0.3446,"22,660",0.4084,42.332916,-83.047853,39.951061,-75.16562
54,2017,2,"Houston, TX","Omaha, NE","24,740",206.25,314.77,"18,790",-108.52,-0.3448,"5,950",0.3167,29.760803,-95.369506,46.07035,-93.666319
55,2017,2,"Houston, TX","New Orleans, LA","141,140",145.01,185.41,"137,050",-40.4,-0.2179,"4,090",0.0298,29.760803,-95.369506,29.950621,-90.074948
56,2017,2,"Houston, TX","Philadelphia, PA","95,220",245.92,340.2,"76,360",-94.27,-0.2771,"18,860",0.247,29.760803,-95.369506,39.951061,-75.16562
57,2017,2,"Orlando, FL","San Diego, CA","73,730",192.02,256.79,"52,070",-64.77,-0.2522,"21,660",0.416,28.538331,-81.378879,32.71576,-117.163817
58,2017,2,"Las Vegas, NV","Tampa, FL (Metropolitan Area)","77,560",201.63,267.76,"52,930",-66.13,-0.247,"24,630",0.4653,36.169202,-115.140597,37.8606,-78.804199
59,2017,4,"Chicago, IL","Cincinnati, OH","78,990",133.2,229.98,"41,960",-96.78,-0.4208,"37,030",0.8825,41.775002,-87.696388,39.104427,-84.513808
60,2017,2,"Los Angeles, CA (Metropolitan Area)","Reno, NV","106,140",132.64,169.13,"79,150",-36.49,-0.2157,"26,990",0.341,34.052238,-118.243344,30.177159,-95.162771
61,2017,2,"Cincinnati, OH","Minneapolis/St. Paul, MN","27,740",279.15,360.79,"23,600",-81.64,-0.2263,"4,140",0.1754,39.104427,-84.513808,44.977479,-93.264346
62,2017,2,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)","54,530",233.45,301.11,"36,490",-67.66,-0.2247,"18,040",0.4944,39.104427,-84.513808,37.78008,-122.420168
63,2017,2,"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)","77,550",236.75,296.24,"56,750",-59.48,-0.2008,"20,800",0.3665,39.104427,-84.513808,34.052238,-118.243344
64,2017,2,"Cincinnati, OH","San Diego, CA","17,850",254.49,321.27,"11,300",-66.78,-0.2079,"6,550",0.5796,39.104427,-84.513808,32.71576,-117.163817
65,2017,2,"Sacramento, CA","Salt Lake City, UT","40,680",159.08,222.25,"29,830",-63.17,-0.2842,"10,850",0.3637,38.582087,-121.50012,40.758478,-111.888142
66,2017,2,"Kansas City, MO","San Antonio, TX","26,140",184.43,252.65,"18,240",-68.22,-0.27,"7,900",0.4331,39.099792,-94.578559,29.425173,-98.494599
67,2017,2,"New Orleans, LA","Raleigh/Durham, NC","25,290",193.27,250.43,"19,380",-57.17,-0.2283,"5,910",0.305,29.950621,-90.074948,42.673348,-72.179683
68,2017,2,"Knoxville, TN","New York City, NY (Metropolitan Area)","35,760",170.45,309.94,"19,550",-139.49,-0.4501,"16,210",0.8292,35.962631,-83.916677,40.123164,-75.333718
69,2017,3,"Atlantic City, NJ","Miami, FL (Metropolitan Area)","36,360",76.19,97.28,"36,550",-21.09,-0.2168,-190,-0.0052,33.748547,-84.391502,44.977479,-93.264346
70,2017,3,"Colorado Springs, CO","Washington, DC (Metropolitan Area)","28,500",202.84,311.64,"17,380",-108.8,-0.3491,"11,120",0.6398,38.835224,-104.819798,38.892062,-77.019912
71,2017,3,"Colorado Springs, CO","Orlando, FL","17,860",117.81,251.28,"4,430",-133.47,-0.5312,"13,430",3.0316,38.835224,-104.819798,28.538331,-81.378879
72,2017,3,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)","19,710",182.94,269.44,"13,450",-86.49,-0.321,"6,260",0.4654,38.835224,-104.819798,34.052238,-118.243344
73,2017,3,"Dallas/Fort Worth, TX","Pittsburgh, PA","68,740",173.43,234.78,"56,320",-61.35,-0.2613,"12,420",0.2205,40.11086,-77.035636,40.442169,-79.994945
74,2017,3,"Dallas/Fort Worth, TX","Oklahoma City, OK","23,210",155.89,197.46,"18,360",-41.57,-0.2105,"4,850",0.2642,40.11086,-77.035636,35.468494,-97.521264
75,2017,3,"Dallas/Fort Worth, TX","Tulsa, OK","38,730",140.1,180.18,"34,760",-40.08,-0.2224,"3,970",0.1142,40.11086,-77.035636,43.073926,-89.385244
76,2017,3,"Denver, CO","Madison, WI","31,130",161,217.97,"22,300",-56.97,-0.2614,"8,830",0.396,39.738453,-104.984853,61.096484,-160.967455
77,2017,3,"Denver, CO","New Orleans, LA","69,710",155.24,194.4,"58,020",-39.16,-0.2014,"11,690",0.2015,39.738453,-104.984853,29.950621,-90.074948
78,2017,3,"Denver, CO","Salt Lake City, UT","142,520",126.01,160.7,"120,450",-34.69,-0.2159,"22,070",0.1832,39.738453,-104.984853,40.758478,-111.888142
79,2017,3,"Atlanta, GA (Metropolitan Area)","Austin, TX","83,590",161.98,207.04,"71,270",-45.06,-0.2176,"12,320",0.1729,33.748547,-84.391502,30.264979,-97.746598
80,2017,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)","315,990",150.88,222.48,"250,310",-71.6,-0.3218,"65,680",0.2624,33.748547,-84.391502,42.358894,-71.056742
81,2017,3,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH","39,680",235.63,294.76,"30,810",-59.13,-0.2006,"8,870",0.2879,33.748547,-84.391502,39.104427,-84.513808
82,2017,3,"Austin, TX","Pittsburgh, PA","19,100",197.27,249.63,"14,310",-52.36,-0.2098,"4,790",0.3347,30.264979,-97.746598,40.442169,-79.994945
83,2017,3,"Austin, TX","Cleveland, OH (Metropolitan Area)","18,760",198.56,257.87,"15,390",-59.31,-0.23,"3,370",0.219,30.264979,-97.746598,41.505546,-81.6915
84,2017,3,"Austin, TX","Indianapolis, IN","19,420",205.38,265.67,"13,520",-60.3,-0.227,"5,900",0.4364,30.264979,-97.746598,39.76845,-86.156212
85,2017,3,"Austin, TX","Kansas City, MO","25,240",181.41,237.88,"16,600",-56.47,-0.2374,"8,640",0.5205,30.264979,-97.746598,39.099792,-94.578559
86,2017,3,"Austin, TX","San Diego, CA","58,690",185.77,258.31,"39,890",-72.54,-0.2808,"18,800",0.4713,30.264979,-97.746598,32.71576,-117.163817
87,2017,3,"Asheville, NC","New York City, NY (Metropolitan Area)","32,170",146.3,272.12,"12,790",-125.83,-0.4624,"19,380",1.5152,35.595889,-82.550039,40.123164,-75.333718
88,2017,3,"Phoenix, AZ","Sacramento, CA","80,170",171.01,214.24,"61,700",-43.23,-0.2018,"18,470",0.2994,30.406931,-87.217578,38.582087,-121.50012
89,2017,3,"Hartford, CT","Myrtle Beach, SC","21,150",98.29,243.81,"4,100",-145.51,-0.5968,"17,050",4.1585,41.765775,-72.673356,33.68785,-78.883852
90,2017,3,"Bangor, ME","New York City, NY (Metropolitan Area)","21,830",205.07,259.84,"14,950",-54.77,-0.2108,"6,880",0.4602,44.801602,-68.771334,40.123164,-75.333718
91,2017,3,"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)","53,720",193.25,241.72,"62,910",-48.47,-0.2005,"-9,190",-0.1461,41.505546,-81.6915,38.892062,-77.019912
92,2017,3,"Cleveland, OH (Metropolitan Area)","Houston, TX","41,370",216.72,321.95,"34,470",-105.23,-0.3269,"6,900",0.2002,41.505546,-81.6915,29.760803,-95.369506
93,2017,3,"Cleveland, OH (Metropolitan Area)","Tampa, FL (Metropolitan Area)","50,990",118.25,150.22,"50,460",-31.97,-0.2128,530,0.0105,41.505546,-81.6915,37.8606,-78.804199
94,2017,3,"Cleveland, OH (Metropolitan Area)","San Diego, CA","30,210",197.47,283.18,"21,010",-85.71,-0.3027,"9,200",0.4379,41.505546,-81.6915,32.71576,-117.163817
95,2017,3,"Chicago, IL","Colorado Springs, CO","20,160",157.57,345.89,"6,150",-188.32,-0.5444,"14,010",2.278,41.775002,-87.696388,38.835224,-104.819798
96,2017,3,"Chicago, IL","Detroit, MI","147,080",141.81,177.88,"127,120",-36.07,-0.2028,"19,960",0.157,41.775002,-87.696388,42.332916,-83.047853
97,2017,3,"Chicago, IL","Cincinnati, OH","78,110",124.32,227.08,"38,840",-102.77,-0.4526,"39,270",1.0111,41.775002,-87.696388,39.104427,-84.513808
98,2017,3,"Chicago, IL","Sacramento, CA","65,590",231.92,304.41,"47,530",-72.49,-0.2381,"18,060",0.38,41.775002,-87.696388,38.582087,-121.50012
99,2017,3,"Chicago, IL","San Antonio, TX","90,510",171.5,239.98,"69,160",-68.49,-0.2854,"21,350",0.3087,41.775002,-87.696388,29.425173,-98.494599
100,2017,3,"Chicago, IL","Oklahoma City, OK","34,360",181.97,236.64,"30,440",-54.68,-0.231,"3,920",0.1288,41.775002,-87.696388,35.468494,-97.521264
101,2017,3,"Cedar Rapids/Iowa City, IA","Denver, CO","21,480",156.11,198.38,"15,090",-42.28,-0.2131,"6,390",0.4235,41.978122,-91.669808,39.738453,-104.984853
102,2017,3,"Dayton, OH","New York City, NY (Metropolitan Area)","22,380",168.87,214.57,"23,500",-45.7,-0.213,"-1,120",-0.0477,39.760982,-84.192203,40.123164,-75.333718
103,2017,3,"Detroit, MI","Philadelphia, PA","70,340",173.69,226.25,"57,100",-52.55,-0.2323,"13,240",0.2319,42.332916,-83.047853,39.951061,-75.16562
104,2017,3,"Houston, TX","Pittsburgh, PA","52,480",230.85,293.77,"48,750",-62.92,-0.2142,"3,730",0.0765,29.760803,-95.369506,40.442169,-79.994945
105,2017,3,"Houston, TX","Seattle, WA","116,890",202.96,258.77,"97,040",-55.81,-0.2157,"19,850",0.2046,29.760803,-95.369506,47.603229,-122.33028
106,2017,3,"Houston, TX","Tampa, FL (Metropolitan Area)","64,460",141.45,186.73,"62,730",-45.28,-0.2425,"1,730",0.0276,29.760803,-95.369506,37.8606,-78.804199
107,2017,3,"Houston, TX","Omaha, NE","25,240",181.07,285.73,"16,200",-104.66,-0.3663,"9,040",0.558,29.760803,-95.369506,46.07035,-93.666319
108,2017,3,"Houston, TX","New Orleans, LA","117,570",140.44,193.36,"116,250",-52.92,-0.2737,"1,320",0.0114,29.760803,-95.369506,29.950621,-90.074948
109,2017,3,"Houston, TX","Philadelphia, PA","84,710",218.24,332.42,"68,270",-114.18,-0.3435,"16,440",0.2408,29.760803,-95.369506,39.951061,-75.16562
110,2017,3,"Houston, TX","Raleigh/Durham, NC","40,720",205.26,258.94,"33,620",-53.68,-0.2073,"7,100",0.2112,29.760803,-95.369506,42.673348,-72.179683
111,2017,3,"Orlando, FL","San Diego, CA","67,430",175.11,251.43,"46,820",-76.32,-0.3035,"20,610",0.4402,28.538331,-81.378879,32.71576,-117.163817
112,2017,3,"Valparaiso, FL","Washington, DC (Metropolitan Area)","16,870",209.05,282.54,"11,900",-73.49,-0.2601,"4,970",0.4176,41.478143,-87.055372,38.892062,-77.019912
113,2017,3,"Minneapolis/St. Paul, MN","Nashville, TN","55,070",201.24,271.02,"39,720",-69.78,-0.2575,"15,350",0.3865,44.977479,-93.264346,36.166687,-86.779932
114,2017,3,"Grand Rapids, MI","Minneapolis/St. Paul, MN","21,650",212.39,280.06,"18,190",-67.67,-0.2416,"3,460",0.1902,47.925705,-97.036068,44.977479,-93.264346
115,2017,3,"Las Vegas, NV","Tampa, FL (Metropolitan Area)","74,920",172.16,257.58,"48,640",-85.42,-0.3316,"26,280",0.5403,36.169202,-115.140597,37.8606,-78.804199
116,2017,3,"Las Vegas, NV","Raleigh/Durham, NC","49,740",221.13,283.2,"41,480",-62.07,-0.2192,"8,260",0.1991,36.169202,-115.140597,42.673348,-72.179683
117,2017,3,"Miami, FL (Metropolitan Area)","Orlando, FL","53,720",113.89,150.15,"38,610",-36.25,-0.2414,"15,110",0.3914,44.977479,-93.264346,28.538331,-81.378879
118,2017,3,"Cincinnati, OH","Phoenix, AZ","34,290",133.06,170.22,"27,200",-37.16,-0.2183,"7,090",0.2607,39.104427,-84.513808,30.406931,-87.217578
119,2017,3,"Cincinnati, OH","Washington, DC (Metropolitan Area)","86,340",125.55,193.79,"48,700",-68.23,-0.3521,"37,640",0.7729,39.104427,-84.513808,38.892062,-77.019912
120,2017,3,"Cincinnati, OH","Minneapolis/St. Paul, MN","29,850",239.64,366.15,"19,540",-126.51,-0.3455,"10,310",0.5276,39.104427,-84.513808,44.977479,-93.264346
121,2017,3,"Cincinnati, OH","New York City, NY (Metropolitan Area)","122,500",172.45,254.66,"88,660",-82.21,-0.3228,"33,840",0.3817,39.104427,-84.513808,40.123164,-75.333718
122,2017,3,"Cincinnati, OH","San Francisco, CA (Metropolitan Area)","63,060",197.33,270.54,"39,870",-73.21,-0.2706,"23,190",0.5816,39.104427,-84.513808,37.78008,-122.420168
123,2017,3,"Cincinnati, OH","San Diego, CA","24,060",190.14,308.99,"11,670",-118.85,-0.3846,"12,390",1.0617,39.104427,-84.513808,32.71576,-117.163817
124,2017,3,"Sacramento, CA","San Diego, CA","200,860",122.59,160.7,"149,060",-38.11,-0.2371,"51,800",0.3475,38.582087,-121.50012,32.71576,-117.163817
125,2017,3,"Sacramento, CA","Salt Lake City, UT","43,610",154.03,237.58,"27,720",-83.55,-0.3517,"15,890",0.5732,38.582087,-121.50012,40.758478,-111.888142
126,2017,3,"New Orleans, LA","Washington, DC (Metropolitan Area)","152,170",169.12,219.1,"115,020",-49.98,-0.2281,"37,150",0.323,29.950621,-90.074948,38.892062,-77.019912
127,2017,3,"New Orleans, LA","Orlando, FL","56,950",124.75,163.2,"47,340",-38.45,-0.2356,"9,610",0.203,29.950621,-90.074948,28.538331,-81.378879
128,2017,3,"New Orleans, LA","Raleigh/Durham, NC","20,010",170.72,235.61,"14,200",-64.88,-0.2754,"5,810",0.4092,29.950621,-90.074948,42.673348,-72.179683
129,2017,3,"Oklahoma City, OK","Orlando, FL","19,000",197.18,250.13,"13,210",-52.95,-0.2117,"5,790",0.4383,35.468494,-97.521264,28.538331,-81.378879
130,2017,3,"Knoxville, TN","New York City, NY (Metropolitan Area)","41,000",157.93,293.37,"19,510",-135.44,-0.4617,"21,490",1.1015,35.962631,-83.916677,40.123164,-75.333718
131,2017,4,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)","17,550",190.24,258.01,"12,150",-67.77,-0.2627,"5,400",0.4444,38.835224,-104.819798,34.052238,-118.243344
132,2017,4,"Dallas/Fort Worth, TX","Pittsburgh, PA","70,700",190.18,241.24,"57,710",-51.06,-0.2117,"12,990",0.2251,40.11086,-77.035636,40.442169,-79.994945
133,2017,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)","311,270",144.32,190.33,"251,210",-46.02,-0.2418,"60,060",0.2391,33.748547,-84.391502,42.358894,-71.056742
134,2017,4,"Austin, TX","Phoenix, AZ","77,010",181.29,232.31,"66,160",-51.02,-0.2196,"10,850",0.164,30.264979,-97.746598,30.406931,-87.217578
135,2017,4,"Austin, TX","Cleveland, OH (Metropolitan Area)","20,590",205.67,264.02,"15,160",-58.35,-0.221,"5,430",0.3582,30.264979,-97.746598,41.505546,-81.6915
136,2017,4,"Austin, TX","Indianapolis, IN","23,970",191.45,272.82,"15,400",-81.37,-0.2983,"8,570",0.5565,30.264979,-97.746598,39.76845,-86.156212
137,2017,4,"Austin, TX","Kansas City, MO","25,500",190.85,241.99,"17,930",-51.14,-0.2113,"7,570",0.4222,30.264979,-97.746598,39.099792,-94.578559
138,2017,4,"Austin, TX","New Orleans, LA","38,150",163.73,213.61,"29,570",-49.88,-0.2335,"8,580",0.2902,30.264979,-97.746598,29.950621,-90.074948
139,2017,4,"Austin, TX","San Diego, CA","60,560",183.63,253.79,"40,340",-70.16,-0.2764,"20,220",0.5012,30.264979,-97.746598,32.71576,-117.163817
140,2017,4,"Austin, TX","Portland, OR","41,520",190.65,255.47,"32,490",-64.82,-0.2537,"9,030",0.2779,30.264979,-97.746598,45.516018,-122.681425
141,2017,4,"Asheville, NC","New York City, NY (Metropolitan Area)","29,310",167.55,221.79,"15,020",-54.24,-0.2446,"14,290",0.9514,35.595889,-82.550039,40.123164,-75.333718
142,2017,4,"Phoenix, AZ","San Antonio, TX","58,440",185.01,238.7,"44,040",-53.69,-0.2249,"14,400",0.327,30.406931,-87.217578,29.425173,-98.494599
143,2017,4,"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)","65,380",159.83,215.1,"61,100",-55.28,-0.257,"4,280",0.07,41.505546,-81.6915,38.892062,-77.019912
144,2017,4,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI","18,500",156.37,267.3,"10,080",-110.93,-0.415,"8,420",0.8353,41.505546,-81.6915,43.041072,-87.909421
145,2017,4,"Cleveland, OH (Metropolitan Area)","New Orleans, LA","19,510",183.25,236.22,"16,150",-52.96,-0.2242,"3,360",0.208,41.505546,-81.6915,29.950621,-90.074948
146,2017,4,"St. Louis, MO","Tampa, FL (Metropolitan Area)","44,100",184.6,233.47,"36,540",-48.87,-0.2093,"7,560",0.2069,38.630276,-90.200309,37.8606,-78.804199
147,2017,4,"New York City, NY (Metropolitan Area)","Richmond, VA","61,840",244.6,308.97,"42,120",-64.37,-0.2083,"19,720",0.4682,40.123164,-75.333718,37.540759,-77.433932
148,2017,4,"Las Vegas, NV","Memphis, TN","30,900",167.78,211.46,"23,180",-43.68,-0.2066,"7,720",0.333,36.169202,-115.140597,35.143378,-90.052136
149,2017,4,"Las Vegas, NV","Raleigh/Durham, NC","53,220",192.76,270.64,"39,350",-77.87,-0.2877,"13,870",0.3525,36.169202,-115.140597,42.673348,-72.179683
150,2017,4,"Miami, FL (Metropolitan Area)","Orlando, FL","64,520",117.02,148.14,"43,360",-31.12,-0.2101,"21,160",0.488,44.977479,-93.264346,28.538331,-81.378879
151,2017,4,"Cincinnati, OH","Washington, DC (Metropolitan Area)","85,770",130.84,198.43,"54,590",-67.59,-0.3406,"31,180",0.5712,39.104427,-84.513808,38.892062,-77.019912
152,2017,4,"Cincinnati, OH","New York City, NY (Metropolitan Area)","128,720",185.86,255.15,"96,990",-69.3,-0.2716,"31,730",0.3272,39.104427,-84.513808,40.123164,-75.333718
153,2017,4,"Cincinnati, OH","San Diego, CA","17,950",245.09,308.69,"11,110",-63.6,-0.206,"6,840",0.6157,39.104427,-84.513808,32.71576,-117.163817
